"","X","AllScores","AllAiScores","AllScores_flat","filename","orig","kaiscore","AiRanges","aiRange","kaiscore_numeric","mean_score","sd_score","max_score","mean_kaiscore","max_kaiscore","min_kaiscore","true_range"
"39",38,-16.4333468022499,40,-16.4333468022499,"results/rawdata/Beam_ai107.csv",1,"107","40",40,107,-15.4207461471945,0.686829685102871,-14.1521683387262,107,127,87,40
"40",39,-14.7200702316816,40,-14.7200702316816,"results/rawdata/Beam_ai107.csv",1,"107","40",40,107,-15.4207461471945,0.686829685102871,-14.1521683387262,107,127,87,40
"41",40,-15.53501425669,40,-15.53501425669,"results/rawdata/Beam_ai107.csv",1,"107","40",40,107,-15.4207461471945,0.686829685102871,-14.1521683387262,107,127,87,40
"42",41,-14.5198283684791,40,-14.5198283684791,"results/rawdata/Beam_ai107.csv",1,"107","40",40,107,-15.4207461471945,0.686829685102871,-14.1521683387262,107,127,87,40
"43",42,-15.3966637875344,40,-15.3966637875344,"results/rawdata/Beam_ai107.csv",1,"107","40",40,107,-15.4207461471945,0.686829685102871,-14.1521683387262,107,127,87,40
"44",43,-15.2174118961022,40,-15.2174118961022,"results/rawdata/Beam_ai107.csv",1,"107","40",40,107,-15.4207461471945,0.686829685102871,-14.1521683387262,107,127,87,40
"45",44,-15.3663212824625,40,-15.3663212824625,"results/rawdata/Beam_ai107.csv",1,"107","40",40,107,-15.4207461471945,0.686829685102871,-14.1521683387262,107,127,87,40
"46",45,-16.6821164857529,40,-16.6821164857529,"results/rawdata/Beam_ai107.csv",1,"107","40",40,107,-15.4207461471945,0.686829685102871,-14.1521683387262,107,127,87,40
"47",46,-15.7363402309055,40,-15.7363402309055,"results/rawdata/Beam_ai107.csv",1,"107","40",40,107,-15.4207461471945,0.686829685102871,-14.1521683387262,107,127,87,40
"48",47,-16.0325480011492,40,-16.0325480011492,"results/rawdata/Beam_ai107.csv",1,"107","40",40,107,-15.4207461471945,0.686829685102871,-14.1521683387262,107,127,87,40
"49",48,-14.2649446873338,60,-14.2649446873338,"results/rawdata/Beam_ai107.csv",1,"107","60",60,107,-15.3608202781367,0.707952666225114,-14.0375437820075,107,137,77,60
"50",49,-15.0632663008553,60,-15.0632663008553,"results/rawdata/Beam_ai107.csv",1,"107","60",60,107,-15.3608202781367,0.707952666225114,-14.0375437820075,107,137,77,60
"51",50,-15.5986419460396,60,-15.5986419460396,"results/rawdata/Beam_ai107.csv",1,"107","60",60,107,-15.3608202781367,0.707952666225114,-14.0375437820075,107,137,77,60
"52",51,-14.6260444780003,60,-14.6260444780003,"results/rawdata/Beam_ai107.csv",1,"107","60",60,107,-15.3608202781367,0.707952666225114,-14.0375437820075,107,137,77,60
"53",52,-16.4477936567003,60,-16.4477936567003,"results/rawdata/Beam_ai107.csv",1,"107","60",60,107,-15.3608202781367,0.707952666225114,-14.0375437820075,107,137,77,60
"54",53,-15.3581891185899,60,-15.3581891185899,"results/rawdata/Beam_ai107.csv",1,"107","60",60,107,-15.3608202781367,0.707952666225114,-14.0375437820075,107,137,77,60
"55",54,-14.6310790050752,60,-14.6310790050752,"results/rawdata/Beam_ai107.csv",1,"107","60",60,107,-15.3608202781367,0.707952666225114,-14.0375437820075,107,137,77,60
"56",55,-16.0327494131457,60,-16.0327494131457,"results/rawdata/Beam_ai107.csv",1,"107","60",60,107,-15.3608202781367,0.707952666225114,-14.0375437820075,107,137,77,60
"57",56,-15.5694871553135,60,-15.5694871553135,"results/rawdata/Beam_ai107.csv",1,"107","60",60,107,-15.3608202781367,0.707952666225114,-14.0375437820075,107,137,77,60
"58",57,-15.2398088173895,60,-15.2398088173895,"results/rawdata/Beam_ai107.csv",1,"107","60",60,107,-15.3608202781367,0.707952666225114,-14.0375437820075,107,137,77,60
"59",58,-15.9413866891312,60,-15.9413866891312,"results/rawdata/Beam_ai107.csv",1,"107","60",60,107,-15.3608202781367,0.707952666225114,-14.0375437820075,107,137,77,60
"60",59,-16.7354582948141,60,-16.7354582948141,"results/rawdata/Beam_ai107.csv",1,"107","60",60,107,-15.3608202781367,0.707952666225114,-14.0375437820075,107,137,77,60
"61",60,-15.3765586973184,60,-15.3765586973184,"results/rawdata/Beam_ai107.csv",1,"107","60",60,107,-15.3608202781367,0.707952666225114,-14.0375437820075,107,137,77,60
"62",61,-15.9719571547793,60,-15.9719571547793,"results/rawdata/Beam_ai107.csv",1,"107","60",60,107,-15.3608202781367,0.707952666225114,-14.0375437820075,107,137,77,60
"63",62,-14.8701681342407,60,-14.8701681342407,"results/rawdata/Beam_ai107.csv",1,"107","60",60,107,-15.3608202781367,0.707952666225114,-14.0375437820075,107,137,77,60
"64",63,-15.7343836956802,60,-15.7343836956802,"results/rawdata/Beam_ai107.csv",1,"107","60",60,107,-15.3608202781367,0.707952666225114,-14.0375437820075,107,137,77,60
"65",64,-15.7079737858143,80,-15.7079737858143,"results/rawdata/Beam_ai107.csv",1,"107","80",80,107,-15.4821737922499,0.60813941571354,-14.2015588738775,107,147,67,80
"66",65,-15.7766712070785,80,-15.7766712070785,"results/rawdata/Beam_ai107.csv",1,"107","80",80,107,-15.4821737922499,0.60813941571354,-14.2015588738775,107,147,67,80
"67",66,-15.0190644510341,80,-15.0190644510341,"results/rawdata/Beam_ai107.csv",1,"107","80",80,107,-15.4821737922499,0.60813941571354,-14.2015588738775,107,147,67,80
"68",67,-16.6733110608796,80,-16.6733110608796,"results/rawdata/Beam_ai107.csv",1,"107","80",80,107,-15.4821737922499,0.60813941571354,-14.2015588738775,107,147,67,80
"69",68,-14.7907918800157,80,-14.7907918800157,"results/rawdata/Beam_ai107.csv",1,"107","80",80,107,-15.4821737922499,0.60813941571354,-14.2015588738775,107,147,67,80
"70",69,-15.5077081799438,80,-15.5077081799438,"results/rawdata/Beam_ai107.csv",1,"107","80",80,107,-15.4821737922499,0.60813941571354,-14.2015588738775,107,147,67,80
"71",70,-16.0165277585738,80,-16.0165277585738,"results/rawdata/Beam_ai107.csv",1,"107","80",80,107,-15.4821737922499,0.60813941571354,-14.2015588738775,107,147,67,80
